SIGLA ICAO AERÓDROMO;SIGLA IATA AERÓDROMO;NOME AERÓDROMO;MUNICÍPIO AERÓDROMO;ESTADO AERÓDROMO;PAÍS AERÓDROMO;AERONAVE CRÍTICA;LATITUDE;LONGITUDE
KBTF;BTF;SKYPARK AIRPORT;BOUNTIFUL, UTAH;;ESTADOS UNIDOS DA AMÉRICA;N/I;40,869444;-111,927222
KBTL;BTL;W. K. KELLOGG AIRPORT;BATTLE CREEK, MICHIGAN;;ESTADOS UNIDOS DA AMÉRICA;N/I;42,306389;-85,25
KBTM;BTM;BERT MOONEY AIRPORT;BUTTE, MONTANA;;ESTADOS UNIDOS DA AMÉRICA;N/I;45,954722;-1,124975
KBTN;TTO;BRITTON MUNICIPAL AIRPORT;BRITTON, SOUTH DAKOTA;;ESTADOS UNIDOS DA AMÉRICA;N/I;45,815;-97,742778
KBTP;BTP;BUTLER COUNTY AIRPORT (K.W. SCHOLTER FIELD);BUTLER, PENNSYLVANIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;40,776944;-79,949722
KBTR;BTR;BATON ROUGE METROPOLITAN AIRPORT;BATON ROUGE, LOUISIANA;;ESTADOS UNIDOS DA AMÉRICA;N/I;30,532778;-91,15
KBTV;BTV;BURLINGTON INTERNATIONAL AIRPORT;BURLINGTON, VERMONT;;ESTADOS UNIDOS DA AMÉRICA;N/I;44,471944;-73,153333
KBTY;BTY;BEATTY AIRPORT;BEATTY, NEVADA;;ESTADOS UNIDOS DA AMÉRICA;N/I;36,861111;-116,786944
KBUF;BUF;BUFFALO NIAGARA INTERNATIONAL AIRPORT;BUFFALO, NEW YORK;;ESTADOS UNIDOS DA AMÉRICA;N/I;42,940556;-78,732222
KBUR;BUR;BOB HOPE AIRPORT;BURBANK, CALIFORNIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;34,200556;-118,358611
KBUU;BUU;BURLINGTON MUNICIPAL AIRPORT;BURLINGTON, WISCONSIN;;ESTADOS UNIDOS DA AMÉRICA;N/I;42,690833;-88,304722
KBUY;...;BURLINGTON-ALAMANCE REGIONAL AIRPORT;BURLINGTON, NORTH CAROLINA;;ESTADOS UNIDOS DA AMÉRICA;N/I;36,048611;-79,475
KBVI;BFP;BEAVER COUNTY AIRPORT;BEAVER FALLS, PENNSYLVANIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;407,725;-80,391389
KBVN;BVN;ALBION MUNICIPAL AIRPORT;ALBION, NEBRASKA;;ESTADOS UNIDOS DA AMÉRICA;N/I;41,728611;-98,055833
KBVS;MVW;SKAGIT REGIONAL AIRPORT;BURLINGTON & MOUNT VERNON, WASHINGTON;;ESTADOS UNIDOS DA AMÉRICA;N/I;48,470833;-122,420833
KBVU;...;BOULDER CITY MUNICIPAL AIRPORT;BOULDER CITY, NEVADA;;ESTADOS UNIDOS DA AMÉRICA;N/I;35,947222;-114,860278
KBVX;BVX;BATESVILLE REGIONAL AIRPORT;BATESVILLE, ARKANSAS;;ESTADOS UNIDOS DA AMÉRICA;N/I;35,726111;-916,475
KBVY;BVY;BEVERLY MUNICIPAL AIRPORT;BEVERLY, MASSACHUSETTS;;ESTADOS UNIDOS DA AMÉRICA;N/I;42,584167;-709,165
KBWC;BWC;BRAWLEY MUNICIPAL AIRPORT;BRAWLEY, CALIFORNIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;32,993056;-115,516944
KBWD;BWD;BROWNWOOD REGIONAL AIRPORT;BROWNWOOD, TEXAS;;ESTADOS UNIDOS DA AMÉRICA;N/I;31,793611;-98,956389
KBWG;BWG;BOWLING GREEN-WARREN COUNTY REGIONAL AIRPORT;BOWLING GREEN, KENTUCKY;;ESTADOS UNIDOS DA AMÉRICA;N/I;36,964444;-86,419722
KBWI;BWI;BALTIMORE-WASHINGTON INTERNATIONAL THURGOOD MARSHALL AIRPORT;BALTIMORE, MARYLAND & WASHINGTON, DC;;ESTADOS UNIDOS DA AMÉRICA;N/I;39,175278;-76,668333
KBWP;WAH;HARRY STERN AIRPORT;WAHPETON, NORTH DAKOTA;;ESTADOS UNIDOS DA AMÉRICA;N/I;46,244167;-96,607222
KBXK;BXK;BUCKEYE MUNICIPAL AIRPORT;BUCKEYE, ARIZONA;;ESTADOS UNIDOS DA AMÉRICA;N/I;33,420556;-112,686111
KBXM;NHZ;BRUNSWICK EXECUTIVE AIRPORT (FORMERLY NAS BRUNSWICK);BRUNSWICK, MAINE;;ESTADOS UNIDOS DA AMÉRICA;N/I;43,892222;-69,938889
KBYH;BYH;ARKANSAS INTERNATIONAL AIRPORT;BLYTHEVILLE, ARKANSAS;;ESTADOS UNIDOS DA AMÉRICA;N/I;35,964444;-89,943889
KBYI;BYI;BURLEY MUNICIPAL AIRPORT;BURLEY, IDAHO;;ESTADOS UNIDOS DA AMÉRICA;N/I;425,425;-113,771667
KBYS;BYS;BICYCLE LAKE ARMY AIRFIELD (FORT IRWIN);BARSTOW, CALIFORNIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;3,528053;-116,630029
KBYY;BBC;BAY CITY MUNICIPAL AIRPORT;BAY CITY, TEXAS;;ESTADOS UNIDOS DA AMÉRICA;N/I;28,973333;-95,863333
KBZN;BZN;GALLATIN FIELD AIRPORT;BOZEMAN, MONTANA;;ESTADOS UNIDOS DA AMÉRICA;N/I;457,775;-111,151944
KCAD;CAD;WEXFORD COUNTY AIRPORT;CADILLAC, MICHIGAN;;ESTADOS UNIDOS DA AMÉRICA;N/I;44,275311;-85,418925
KCAE;CAE;COLUMBIA METROPOLITAN AIRPORT;WEST COLUMBIA, SOUTH CAROLINA (NEAR COLUMBIA);;ESTADOS UNIDOS DA AMÉRICA;N/I;33,938889;-81,119444
KCAG;CIG;CRAIG-MOFFAT AIRPORT;CRAIG, COLORADO;;ESTADOS UNIDOS DA AMÉRICA;N/I;40,495278;-107,521667
KCAK;CAK;AKRON-CANTON REGIONAL AIRPORT;AKRON, OHIO (NEAR CANTON);;ESTADOS UNIDOS DA AMÉRICA;N/I;40,916111;-81,442222
KCAO;CAO;CLAYTON MUNICIPAL AIRPARK;CLAYTON, NEW MEXICO;;ESTADOS UNIDOS DA AMÉRICA;N/I;36,445181;-103,150228
KCAR;CAR;CARIBOU MUNICIPAL AIRPORT;CARIBOU, MAINE;;ESTADOS UNIDOS DA AMÉRICA;N/I;468,715;-68,017917
KCAV;...;CLARION MUNICIPAL AIRPORT;CLARION, IOWA;;ESTADOS UNIDOS DA AMÉRICA;N/I;42,741944;-93,758889
KCBE;CBE;GREATER CUMBERLAND REGIONAL AIRPORT;CUMBERLAND, MARYLAND;;ESTADOS UNIDOS DA AMÉRICA;N/I;39,615556;-78,760833
KCBF;CBF;COUNCIL BLUFFS MUNICIPAL AIRPORT;COUNCIL BLUFFS, IOWA;;ESTADOS UNIDOS DA AMÉRICA;N/I;41,26;-95,758611
KCBG;...;CAMBRIDGE MUNICIPAL AIRPORT;CAMBRIDGE, MINNESOTA;;ESTADOS UNIDOS DA AMÉRICA;N/I;455,575;-93,264167
KCBK;CBK;SHALZ FIELD;COLBY, KANSAS;;ESTADOS UNIDOS DA AMÉRICA;N/I;394,275;-101,046667
KCBM;CBM;COLUMBUS AIR FORCE BASE;COLUMBUS, MISSISSIPPI;;ESTADOS UNIDOS DA AMÉRICA;N/I;33,643889;-88,443889
KCCA;CCA;CLINTON MUNICIPAL AIRPORT;CLINTON, ARKANSAS;;ESTADOS UNIDOS DA AMÉRICA;N/I;35,597778;-92,451667
KCCB;CCB;CABLE AIRPORT;UPLAND, CALIFORNIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;34,111667;-1,176875
KCCO;...;NEWNAN-COWETA COUNTY AIRPORT;NEWNAN, GEORGIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;33,311667;-84,769722
KCCR;CCR;BUCHANAN FIELD AIRPORT;CONCORD, CALIFORNIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;37,989722;-122,056944
KCCY;CCY;NORTHEAST IOWA REGIONAL AIRPORT;CHARLES CITY, IOWA;;ESTADOS UNIDOS DA AMÉRICA;N/I;430,725;-92,610833
KCDA;LLX;CALEDONIA COUNTY AIRPORT;LYNDONVILLE, VERMONT;;ESTADOS UNIDOS DA AMÉRICA;N/I;44,569167;-72,018056
KCDC;CDC;CEDAR CITY REGIONAL AIRPORT;CEDAR CITY, UTAH;;ESTADOS UNIDOS DA AMÉRICA;N/I;37,700833;-113,098889
KCDD;CDD;SCOTTS SEAPLANE BASE;CRANE LAKE, MINNESOTA;;ESTADOS UNIDOS DA AMÉRICA;N/I;48,266667;-92,483611
KCDH;CDH;HARRELL FIELD;CAMDEN, ARKANSAS;;ESTADOS UNIDOS DA AMÉRICA;N/I;33,622778;-92,763333
KCDI;CD*;CAMBRIDGE MUNICIPAL AIRPORT;CAMBRIDGE, OHIO;;ESTADOS UNIDOS DA AMÉRICA;1A;39,975;-815,775
KCDK;CDK;GEORGE T. LEWIS AIRPORT;CEDAR KEY, FLORIDA;;ESTADOS UNIDOS DA AMÉRICA;N/I;29,134167;-83,050556
KCDN;CDN;WOODWARD FIELD;CAMDEN, SOUTH CAROLINA;;ESTADOS UNIDOS DA AMÉRICA;N/I;34,283611;-80,565
KCDR;CDR;CHADRON MUNICIPAL AIRPORT;CHADRON, NEBRASKA;;ESTADOS UNIDOS DA AMÉRICA;N/I;428,375;-103,095278
KCDS;CDS;CHILDRESS MUNICIPAL AIRPORT;CHILDRESS, TEXAS;;ESTADOS UNIDOS DA AMÉRICA;N/I;34,433889;-100,288056
KCDW;CDW;ESSEX COUNTY AIRPORT;CALDWELL, NEW JERSEY;;ESTADOS UNIDOS DA AMÉRICA;N/I;40,875278;-74,281389
KCEA;CEA;CESSNA AIRCRAFT FIELD;WICHITA, KANSAS;;ESTADOS UNIDOS DA AMÉRICA;N/I;37,648611;-97,250556
KCEC;CEC;JACK MCNAMARA FIELD;CRESCENT CITY, CALIFORNIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;41,780278;-124,236667
KCEF;CEF;WESTOVER METROPOLITAN AIRPORT/WESTOVER AIR RESERVE BASE;SPRINGFIELD/CHICOPEE, MASSACHUSETTS;;ESTADOS UNIDOS DA AMÉRICA;N/I;42,193889;-72,534722
KCEU;CEU;OCONEE COUNTY REGIONAL AIRPORT;CLEMSON, SOUTH CAROLINA;;ESTADOS UNIDOS DA AMÉRICA;N/I;34,671917;-82,886806
KCEW;CEW;BOB SIKES AIRPORT;CRESTVIEW, FLORIDA;;ESTADOS UNIDOS DA AMÉRICA;N/I;30,778833;-86,522111
KCEY;CEY;MURRAY-CALLOWAY COUNTY AIRPORT;MURRAY, KENTUCKY;;ESTADOS UNIDOS DA AMÉRICA;N/I;36,664444;-88,372778
KCEZ;CEZ;CORTEZ MUNICIPAL AIRPORT;CORTEZ, COLORADO;;ESTADOS UNIDOS DA AMÉRICA;N/I;37,303056;-108,628056
KCFD;CFD;COULTER FIELD;BRYAN, TEXAS;;ESTADOS UNIDOS DA AMÉRICA;N/I;30,715556;-96,331389
KCFE;...;BUFFALO MUNICIPAL AIRPORT;BUFFALO, MINNESOTA;;ESTADOS UNIDOS DA AMÉRICA;N/I;45,159167;-93,843333
KCFS;TZC;TUSCOLA AREA AIRPORT;CARO, MICHIGAN;;ESTADOS UNIDOS DA AMÉRICA;N/I;43,458889;-83,445556
KCFT;CFT;GREENLEE COUNTY AIRPORT;CLIFTON/MORENCI, ARIZONA;;ESTADOS UNIDOS DA AMÉRICA;N/I;32,956944;-109,211111
KCFV;CFV;COFFEYVILLE MUNICIPAL AIRPORT;COFFEYVILLE, KANSAS;;ESTADOS UNIDOS DA AMÉRICA;N/I;37,094167;-95,571944
KCGC;CGC;CRYSTAL RIVER AIRPORT;CRYSTAL RIVER, FLORIDA;;ESTADOS UNIDOS DA AMÉRICA;N/I;28,867222;-82,571389
KCGE;CGE;CAMBRIDGE-DORCHESTER AIRPORT;CAMBRIDGE, MARYLAND;;ESTADOS UNIDOS DA AMÉRICA;N/I;38,539444;-76,030278
KCGF;CGF;CUYAHOGA COUNTY AIRPORT;CLEVELAND, OHIO;;ESTADOS UNIDOS DA AMÉRICA;N/I;41,565122;-81,486353
KCGI;CGI;CAPE GIRARDEAU REGIONAL AIRPORT;CAPE GIRARDEAU, MISSOURI;;ESTADOS UNIDOS DA AMÉRICA;N/I;37,225278;-89,570833
KCGS;CGS;COLLEGE PARK AIRPORT;COLLEGE PARK, MARYLAND;;ESTADOS UNIDOS DA AMÉRICA;N/I;38,980583;-76,922306
KCGZ;CGZ;CASA GRANDE MUNICIPAL AIRPORT;CASA GRANDE, ARIZONA;;ESTADOS UNIDOS DA AMÉRICA;N/I;32,955;-111,766944
KCHA;CHA;CHATTANOOGA METROPOLITAN AIRPORT;CHATTANOOGA, TENNESSEE;;ESTADOS UNIDOS DA AMÉRICA;N/I;35,035278;-85,203889
KCHD;CHD;CHANDLER MUNICIPAL AIRPORT;CHANDLER, ARIZONA;;ESTADOS UNIDOS DA AMÉRICA;N/I;33,269167;-111,811111
KCHN;CHN;WAUCHULA MUNICIPAL AIRPORT;WAUCHULA, FLORIDA;;ESTADOS UNIDOS DA AMÉRICA;N/I;27,514906;-81,880463
KCHO;CHO;CHARLOTTESVILLE-ALBEMARLE AIRPORT;CHARLOTTESVILLE, VIRGINIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;38,138639;-78,452861
KCHS;CHS;CHARLESTON INTERNATIONAL AIRPORT (CHARLESTON AIR FORCE BASE);CHARLESTON, SOUTH CAROLINA;;ESTADOS UNIDOS DA AMÉRICA;N/I;32,898611;-80,040556
KCHU;...;HOUSTON COUNTY AIRPORT;CALEDONIA, MINNESOTA;;ESTADOS UNIDOS DA AMÉRICA;N/I;43,596389;-91,503889
KCIC;CIC;CHICO MUNICIPAL AIRPORT;CHICO, CALIFORNIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;39,795278;-121,858333
KCID;CID;THE EASTERN IOWA AIRPORT;CEDAR RAPIDS, IOWA;;ESTADOS UNIDOS DA AMÉRICA;N/I;41,889078;-91,700331
KCII;...;CHOTEAU AIRPORT;CHOTEAU, MONTANA;;ESTADOS UNIDOS DA AMÉRICA;N/I;47,828333;-112,168333
KCIN;CIN;ARTHUR N. NEU AIRPORT;CARROLL, IOWA;;ESTADOS UNIDOS DA AMÉRICA;N/I;42,046111;-94,788889
KCIU;CIU;CHIPPEWA COUNTY INTERNATIONAL AIRPORT;SAULT STE MARIE, MICHIGAN;;ESTADOS UNIDOS DA AMÉRICA;N/I;46,250833;-844,725
KCJR;CJR;CULPEPER REGIONAL AIRPORT;CULPEPER, VIRGINIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;38,525556;-77,859722
KCKA;CKA;KEGELMAN AIR FORCE AUXILIARY FIELD;CHEROKEE, OKLAHOMA;;ESTADOS UNIDOS DA AMÉRICA;N/I;36,734444;-98,120556
KCKB;CKB;HARRISON/MARION REGIONAL AIRPORT;CLARKSBURG, WEST VIRGINIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;39,296667;-80,228056
KCKC;GRM;GRAND MARAIS/COOK COUNTY AIRPORT;GRAND MARAIS, MINNESOTA;;ESTADOS UNIDOS DA AMÉRICA;N/I;47,838333;-90,383056
KCKF;CKF;CRISP COUNTY-CORDELE AIRPORT;CORDELE, GEORGIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;31,988889;-83,773889
KCKN;CKN;CROOKSTON MUNICIPAL AIRPORT;CROOKSTON, MINNESOTA;;ESTADOS UNIDOS DA AMÉRICA;N/I;47,840833;-96,621667
KCKV;CKV;OUTLAW FIELD;CLARKSVILLE, TENNESSEE;;ESTADOS UNIDOS DA AMÉRICA;N/I;36,621944;-87,415
KCLE;CLE;CLEVELAND HOPKINS INTERNATIONAL AIRPORT;CLEVELAND, OHIO;;ESTADOS UNIDOS DA AMÉRICA;N/I;41,411667;-81,849722
KCLI;CLI;CLINTONVILLE MUNICIPAL AIRPORT;CLINTONVILLE, WISCONSIN;;ESTADOS UNIDOS DA AMÉRICA;N/I;44,613333;-88,730833
KCLK;CLK;CLINTON REGIONAL AIRPORT;CLINTON, OKLAHOMA;;ESTADOS UNIDOS DA AMÉRICA;N/I;35,538272;-98,932778
KCLL;CLL;EASTERWOOD AIRPORT;COLLEGE STATION, TEXAS;;ESTADOS UNIDOS DA AMÉRICA;N/I;30,588611;-96,363889
KCLM;CLM;WILLIAM R. FAIRCHILD INTERNATIONAL AIRPORT;PORT ANGELES, WASHINGTON;;ESTADOS UNIDOS DA AMÉRICA;N/I;48,120278;-123,499722
KCLR;CLR;CLIFF HATFIELD MEMORIAL AIRPORT;CALIPATRIA, CALIFORNIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;33,131389;-115,521389
KCLT;CLT;CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT;CHARLOTTE, NORTH CAROLINA;;ESTADOS UNIDOS DA AMÉRICA;N/I;35,213889;-80,943056
KCLW;CLW;CLEARWATER AIR PARK;CLEARWATER, FLORIDA;;ESTADOS UNIDOS DA AMÉRICA;N/I;27,976667;-82,758611
KCMA;...;CAMARILLO AIRPORT;CAMARILLO, CALIFORNIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;34,213889;-119,094444
KCMH;CMH;PORT COLUMBUS INTERNATIONAL AIRPORT;COLUMBUS, OHIO;;ESTADOS UNIDOS DA AMÉRICA;N/I;39,998056;-82,891944
KCMI;CMI;UNIVERSITY OF ILLINOIS WILLARD AIRPORT;SAVOY, ILLINOIS (CHAMPAIGN-URBANA AREA);;ESTADOS UNIDOS DA AMÉRICA;N/I;40,039167;-88,278056
KCMR;...;H.A. CLARK MEMORIAL FIELD;WILLIAMS, ARIZONA;;ESTADOS UNIDOS DA AMÉRICA;N/I;35,305472;-112,194389
KCMX;CMX;HOUGHTON COUNTY MEMORIAL AIRPORT;HANCOCK, MICHIGAN;;ESTADOS UNIDOS DA AMÉRICA;N/I;47,168333;-88,489167
KCMY;CMY;SPARTA/FORT MCCOY AIRPORT;SPARTA, WISCONSIN;;ESTADOS UNIDOS DA AMÉRICA;N/I;43,958333;-90,737778
KCNH;CNH;CLAREMONT MUNICIPAL AIRPORT;CLAREMONT, NEW HAMPSHIRE;;ESTADOS UNIDOS DA AMÉRICA;N/I;43,370556;-72,368611
KCNK;CNK;BLOSSER MUNICIPAL AIRPORT;CONCORDIA, KANSAS;;ESTADOS UNIDOS DA AMÉRICA;N/I;39,549167;-97,652222
KCNM;CNM;CAVERN CITY AIR TERMINAL;CARLSBAD, NEW MEXICO;;ESTADOS UNIDOS DA AMÉRICA;N/I;323,375;-104,263333
KCNO;CNO;CHINO AIRPORT;CHINO, CALIFORNIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;33,974722;-117,636667
KCNU;CNU;CHANUTE MARTIN JOHNSON AIRPORT;CHANUTE, KANSAS;;ESTADOS UNIDOS DA AMÉRICA;N/I;37,668889;-95,485
KCNW;CNW;TSTC WACO AIRPORT;WACO, TEXAS;;ESTADOS UNIDOS DA AMÉRICA;N/I;31,637778;-97,074167
KCNY;CNY;CANYONLANDS FIELD;MOAB, UTAH;;ESTADOS UNIDOS DA AMÉRICA;N/I;38,755;-109,754722
KCOD;COD;YELLOWSTONE REGIONAL AIRPORT;CODY, WYOMING;;ESTADOS UNIDOS DA AMÉRICA;N/I;44,520278;-109,023889
KCOE;COE;COEUR D´ALENE AIR TERMINAL;COEUR D´ALENE, IDAHO;;ESTADOS UNIDOS DA AMÉRICA;N/I;47,774444;-116,819444
KCOF;COF;PATRICK AIR FORCE BASE;COCOA BEACH, FLORIDA;;ESTADOS UNIDOS DA AMÉRICA;N/I;28,235;-80,61
KCOI;COI;MERRITT ISLAND AIRPORT;MERRITT ISLAND, FLORIDA;;ESTADOS UNIDOS DA AMÉRICA;N/I;28,341667;-80,685556
KCOM;COM;COLEMAN MUNICIPAL AIRPORT;COLEMAN, TEXAS;;ESTADOS UNIDOS DA AMÉRICA;N/I;31,841111;-99,403333
KCON;CON;CONCORD MUNICIPAL AIRPORT;CONCORD, NEW HAMPSHIRE;;ESTADOS UNIDOS DA AMÉRICA;N/I;43,202778;-71,502222
KCOQ;...;CLOQUET CARLTON COUNTY AIRPORT;CLOQUET, MINNESOTA;;ESTADOS UNIDOS DA AMÉRICA;N/I;46,701111;-92,503611
KCOS;COS;COLORADO SPRINGS AIRPORT (CITY OF COLORADO SPRINGS MUNICIPAL AIRPORT);COLORADO SPRINGS, COLORADO;;ESTADOS UNIDOS DA AMÉRICA;N/I;38,805833;-104,700833
KCOT;COT;COTULLA-LA SALLE COUNTY AIRPORT;COTULLA, TEXAS;;ESTADOS UNIDOS DA AMÉRICA;N/I;28,456667;-99,218333
KCOU;COU;COLUMBIA REGIONAL AIRPORT;COLUMBIA, MISSOURI;;ESTADOS UNIDOS DA AMÉRICA;N/I;38,818056;-92,219722
KCPC;...;COLUMBUS COUNTY MUNICIPAL AIRPORT;WHITEVILLE, NORTH CAROLINA;;ESTADOS UNIDOS DA AMÉRICA;N/I;34,272778;-78,715
KCPK;CPK;CHESAPEAKE REGIONAL AIRPORT;NORFOLK, VIRGINIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;36,665556;-76,320556
KCPM;CPM;COMPTON/WOODLEY AIRPORT;COMPTON, CALIFORNIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;33,89;-118,243611
KCPR;CPR;NATRONA COUNTY INTERNATIONAL AIRPORT;CASPER, WYOMING;;ESTADOS UNIDOS DA AMÉRICA;N/I;42,908056;-106,464444
KCPS;CPS;ST. LOUIS DOWNTOWN AIRPORT;CAHOKIA, ILLINOIS (NEAR ST. LOUIS, MISSOURI);;ESTADOS UNIDOS DA AMÉRICA;N/I;38,570833;-90,156111
KCPT;...;CLEBURNE MUNICIPAL AIRPORT;CLEBURNE, TEXAS;;ESTADOS UNIDOS DA AMÉRICA;1A;32,353889;-97,433889
