SIGLA ICAO AERÓDROMO;SIGLA IATA AERÓDROMO;NOME AERÓDROMO;MUNICÍPIO AERÓDROMO;ESTADO AERÓDROMO;PAÍS AERÓDROMO;AERONAVE CRÍTICA;LATITUDE;LONGITUDE
KBLV;BLV;MIDAMERICA ST. LOUIS AIRPORT/SCOTT AIR FORCE BASE;BELLEVILLE, ILLINOIS;;ESTADOS UNIDOS DA AMÉRICA;N/I;38,545278;-89,835278
KBMA;...;NASHVILLE INTERNATIONAL AIRPORT;NASHVILLE, TENNESSEE;;ESTADOS UNIDOS DA AMÉRICA;N/I;36,1266666666667;-86,6819444444445
KBMC;BMC;BRIGHAM CITY AIRPORT;BRIGHAM CITY, UTAH;;ESTADOS UNIDOS DA AMÉRICA;N/I;415,525;-112,062222
KBMG;BMG;MONROE COUNTY AIRPORT;BLOOMINGTON, INDIANA;;ESTADOS UNIDOS DA AMÉRICA;N/I;39,146111;-86,616667
KBMH;BMH;BIRMINGHAM–SHUTTLESWORTH INTERNATIONAL AIRPORT;BIRMINGHAM;;ESTADOS UNIDOS DA AMÉRICA;N/I;33,5638888888889;-86,7522222222222
KBMI;BMI;CENTRAL ILLINOIS REGIONAL AIRPORT;BLOOMINGTON, ILLINOIS;;ESTADOS UNIDOS DA AMÉRICA;N/I;40,477222;-88,915833
KBML;BML;BERLIN REGIONAL AIRPORT;BERLIN, NEW HAMPSHIRE;;ESTADOS UNIDOS DA AMÉRICA;N/I;44,575278;-71,175833
KBMQ;BMQ;BURNET MUNICIPAL AIRPORT (KATE CRADDOCK FIELD);BURNET, TEXAS;;ESTADOS UNIDOS DA AMÉRICA;N/I;30,738889;-98,238611
KBMT;BMT;BEAUMONT MUNICIPAL AIRPORT;BEAUMONT, TEXAS;;ESTADOS UNIDOS DA AMÉRICA;N/I;30,070278;-94,215
KBNA;BNA;NASHVILLE INTERNATIONAL AIRPORT;NASHVILLE, TENNESSEE;;ESTADOS UNIDOS DA AMÉRICA;N/I;36,126667;-86,681944
KBNG;BNG;BANNING MUNICIPAL AIRPORT;BANNING, CALIFORNIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;339,225;-116,850556
KBNO;BNO;BURNS MUNICIPAL AIRPORT;BURNS, OREGON;;ESTADOS UNIDOS DA AMÉRICA;N/I;43,591944;-118,955556
KBOI;BOI;BOISE AIR TERMINAL (GOWEN FIELD);BOISE, IDAHO;;ESTADOS UNIDOS DA AMÉRICA;N/I;43,564444;-116,222778
KBOS;BOS;LOGAN INTERNATIONAL AIRPORT;BOSTON, MASSACHUSETTS;;ESTADOS UNIDOS DA AMÉRICA;N/I;42,363056;-71,006389
KBOW;BOW;BARTOW MUNICIPAL AIRPORT;BARTOW, FLORIDA;;ESTADOS UNIDOS DA AMÉRICA;N/I;27,943333;-81,783333
